MonsterResistanceId,MonsterId,DamageTypeId,Value
326,117,4,0
327,117,5,0
328,117,6,25
329,117,7,-25
330,117,8,0
331,117,9,25
332,117,10,25
333,117,11,0
334,117,12,0
335,117,13,50
336,117,14,50
337,117,15,0
338,117,16,-25
339,117,17,25
340,117,18,25
341,117,19,0
342,118,1,0
343,118,2,50
344,118,3,50
345,118,4,0
346,118,5,0
347,118,6,25
348,118,7,-25
349,118,8,0
350,118,9,50
351,118,10,0
352,118,11,50
353,118,12,0
354,118,13,50
355,118,14,50
356,118,15,0
357,118,16,-25
358,118,17,0
359,118,18,0
360,118,19,25
361,119,1,0
362,119,2,50
363,119,3,50
364,119,4,50
365,119,5,-25
366,119,6,25
367,119,7,25
368,119,8,-25
369,119,9,0
370,119,10,0
371,119,11,25
372,119,12,0
373,119,13,0
374,119,14,25
375,119,15,50
376,119,16,50
377,119,17,-25
378,119,18,25
379,119,19,0
380,120,1,0
381,120,2,50
382,120,3,50
383,120,4,25
384,120,5,25
385,120,6,0
386,120,7,-25
387,120,8,0
388,120,9,25
389,120,10,0
390,120,11,25
391,120,12,0
392,120,13,50
393,120,14,50
394,120,15,0
395,120,16,-25
396,120,17,50
397,120,18,0
398,120,19,0
399,121,1,0
400,121,2,0
401,121,3,-25
402,121,4,0
403,121,5,25
404,121,6,50
405,121,7,50
406,121,8,50
407,121,9,0
408,121,10,0
409,121,11,25
410,121,12,0
411,121,13,0
412,121,14,50
413,121,15,-25
414,121,16,0
415,121,17,50
416,121,18,50
417,121,19,0
418,122,1,50
419,122,2,0
420,122,3,50
421,122,4,25
422,122,5,25
423,122,6,-25
424,122,7,0
425,122,8,25
426,122,9,0
427,122,10,-25
428,122,11,25
429,122,12,0
430,122,13,0
431,122,14,-25
432,122,15,50
433,122,16,50
434,122,17,50
435,122,18,25
436,122,19,0
437,123,1,25
438,123,2,25
439,123,3,0
440,123,4,-25
441,123,5,50
442,123,6,0
443,123,7,50
444,123,8,25
445,123,9,0
446,123,10,0
447,123,11,50
448,123,12,25
449,123,13,-25
450,123,14,25
451,123,15,25
452,123,16,50
453,123,17,0
454,123,18,0
455,123,19,0
456,124,1,50
457,124,2,25
458,124,3,0
459,124,4,0
460,124,5,25
461,124,6,25
462,124,7,0
463,124,8,25
464,124,9,0
465,124,10,25
466,124,11,50
467,124,12,0
468,124,13,25
469,124,14,0
470,124,15,0
471,124,16,25
472,124,17,50
473,124,18,-25
474,124,19,0
475,126,1,0
476,126,2,25
477,126,3,0
478,126,4,-25
479,126,5,50
480,126,6,25
481,126,7,50
482,126,8,50
483,126,9,-25
484,126,10,0
485,126,11,50
486,126,12,25
487,126,13,-25
488,126,14,25
489,126,15,25
490,126,16,50
491,126,17,0
492,126,18,0
493,126,19,0
494,127,1,0
495,127,2,50
496,127,3,25
497,127,4,50
498,127,5,-25
499,127,6,0
500,127,7,0
501,127,8,25
502,127,9,25
503,127,10,25
504,127,11,0
505,127,12,0
506,127,13,0
507,127,14,25
508,127,15,50
509,127,16,50
510,127,17,-25
511,127,18,25
512,127,19,0
513,128,1,50
514,128,2,25
515,128,3,50
516,128,4,0
517,128,5,0
518,128,6,-25
519,128,7,0
520,128,8,50
521,128,9,0
522,128,10,0
523,128,11,0
524,128,12,0
525,128,13,0
526,128,14,-25
527,128,15,50
528,128,16,0
529,128,17,50
530,128,18,25
531,128,19,50
532,129,1,25
533,129,2,50
534,129,3,25
535,129,4,50
536,129,5,-25
537,129,6,0
538,129,7,0
539,129,8,25
540,129,9,0
541,129,10,0
542,129,11,0
543,129,12,0
544,129,13,50
545,129,14,0
546,129,15,50
547,129,16,50
548,129,17,-25
549,129,18,25
550,129,19,0
551,130,1,50
552,130,2,0
553,130,3,25
554,130,4,25
555,130,5,0
556,130,6,-25
557,130,7,0
558,130,8,25
559,130,9,25
560,130,10,0
561,130,11,0
562,130,12,0
563,130,13,0
564,130,14,-25
565,130,15,50
566,130,16,25
567,130,17,50
568,130,18,25
569,130,19,25
570,131,1,0
571,131,2,0
572,131,3,-25
573,131,4,0
574,131,5,50
575,131,6,50
576,131,7,50
577,131,8,25
578,131,9,0
579,131,10,25
580,131,11,50
581,131,12,0
582,131,13,0
583,131,14,50
584,131,15,-25
585,131,16,0
586,131,17,0
587,131,18,50
588,131,19,0
589,132,1,0
590,132,2,50
591,132,3,50
592,132,4,0
593,132,5,25
594,132,6,0
595,132,7,-25
596,132,8,-25
597,132,9,75
598,132,10,50
599,132,11,0
600,132,12,0
601,132,13,50
602,132,14,50
603,132,15,0
604,132,16,-25
605,132,17,0
606,132,18,0
607,132,19,25
608,133,1,0
609,133,2,50
610,133,3,50
611,133,4,50
612,133,5,-25
613,133,6,25
614,133,7,0
615,133,8,0
616,133,9,0
617,133,10,0
618,133,11,0
619,133,12,0
620,133,13,50
621,133,14,0
622,133,15,50
623,133,16,50
624,133,17,-25
625,133,18,25
626,133,19,0
627,134,1,50
628,134,2,50
629,134,3,25
630,134,4,50
631,134,5,-25
632,134,6,0
633,134,7,-25
634,134,8,0
635,134,9,25
636,134,10,0
637,134,11,25
638,134,12,0
639,134,13,25
640,134,14,25
641,134,15,50
642,134,16,50
643,134,17,-25
644,134,18,0
645,134,19,0
646,135,1,0
647,135,2,0
648,135,3,-25
649,135,4,25
650,135,5,0
651,135,6,50
652,135,7,50
653,135,8,0
654,135,9,50
655,135,10,0
656,135,11,0
657,135,12,0
658,135,13,25
659,135,14,50
660,135,15,-25
661,135,16,25
662,135,17,25
663,135,18,50
664,135,19,0
665,136,1,0
666,136,2,0
667,136,3,0
668,136,4,0
669,136,5,25
670,136,6,50
671,136,7,50
672,136,8,25
673,136,9,0
674,136,10,0
675,136,11,0
676,136,12,0
677,136,13,25
678,136,14,50
679,136,15,-25
680,136,16,25
681,136,17,25
682,136,18,50
683,136,19,0
684,137,1,25
685,137,2,50
686,137,3,50
687,137,4,0
688,137,5,0
689,137,6,-25
690,137,7,-25
691,137,8,50
692,137,9,25
693,137,10,0
694,137,11,25
695,137,12,0
696,137,13,50
697,137,14,50
698,137,15,25
699,137,16,-25
700,137,17,0
701,137,18,25
702,137,19,0
703,138,1,25
704,138,2,25
705,138,3,0
706,138,4,0
707,138,5,25
708,138,6,0
709,138,7,0
710,138,8,25
711,138,9,25
712,138,10,50
713,138,11,50
714,138,12,0
715,138,13,0
716,138,14,0
717,138,15,0
718,138,16,25
719,138,17,50
720,138,18,-25
721,138,19,0
722,139,1,-25
723,139,2,50
724,139,3,25
725,139,4,50
726,139,5,-25
727,139,6,0
728,139,7,0
729,139,8,50
730,139,9,25
731,139,10,0
732,139,11,0
733,139,12,0
734,139,13,0
735,139,14,25
736,139,15,50
737,139,16,50
738,139,17,-25
739,139,18,50
740,139,19,0
741,140,1,0
742,140,2,0
743,140,3,-25
744,140,4,25
745,140,5,50
746,140,6,50
747,140,7,50
748,140,8,0
749,140,9,0
750,140,10,25
751,140,11,0
752,140,12,0
753,140,13,25
754,140,14,50
755,140,15,-25
756,140,16,0
757,140,17,25
758,140,18,50
759,140,19,0
760,141,1,0
761,141,2,0
762,141,3,50
763,141,4,-25
764,141,5,0
765,141,6,50
766,141,7,25
767,141,8,25
768,141,9,25
769,141,10,0
770,141,11,25
771,141,12,0
772,141,13,25
773,141,14,50
774,141,15,-25
775,141,16,25
776,141,17,0
777,141,18,50
778,141,19,0
779,142,1,50
780,142,2,-25
781,142,3,25
782,142,4,25
783,142,5,50
784,142,6,0
785,142,7,0
786,142,8,25
787,142,9,0
788,142,10,-25
789,142,11,50
790,142,12,0
791,142,13,25
792,142,14,0
793,142,15,50
794,142,16,25
795,142,17,50
796,142,18,-25
797,142,19,0
798,143,1,25
799,143,2,50
800,143,3,50
801,143,4,0
802,143,5,0
803,143,6,0
804,143,7,-25
805,143,8,0
806,143,9,50
807,143,10,25
808,143,11,0
809,143,12,25
810,143,13,50
811,143,14,50
812,143,15,0
813,143,16,-25
814,143,17,25
815,143,18,0
816,143,19,0
817,144,1,50
818,144,2,25
819,144,3,50
820,144,4,25
821,144,5,0
822,144,6,-25
823,144,7,0
824,144,8,0
825,144,9,25
826,144,10,0
827,144,11,0
828,144,12,25
829,144,13,25
830,144,14,-25
831,144,15,50
832,144,16,0
833,144,17,50
834,144,18,0
835,144,19,25
836,145,1,0
837,145,2,0
838,145,3,0
839,145,4,-25
840,145,5,50
841,145,6,25
842,145,7,50
843,145,8,-25
844,145,9,75
845,145,10,25
846,145,11,50
847,145,12,25
848,145,13,-25
849,145,14,0
850,145,15,0
851,145,16,50
852,145,17,25
853,145,18,0
854,145,19,0
855,146,1,-25
856,146,2,0
857,146,3,25
858,146,4,50
859,146,5,0
860,146,6,50
861,146,7,0
862,146,8,0
863,146,9,50
864,146,10,0
865,146,11,-25
866,146,12,25
867,146,13,50
868,146,14,0
869,146,15,0
870,146,16,0
871,146,17,0
872,146,18,50
873,146,19,50
874,147,1,50
875,147,2,50
876,147,3,50
877,147,4,0
878,147,5,0
879,147,6,0
880,147,7,-25
881,147,8,25
882,147,9,0
883,147,10,50
884,147,11,0
885,147,12,0
886,147,13,50
887,147,14,50
888,147,15,25
889,147,16,-25
890,147,17,0
891,147,18,0
892,147,19,0
893,148,1,0
894,148,2,0
895,148,3,-25
896,148,4,25
897,148,5,25
898,148,6,50
899,148,7,50
900,148,8,25
901,148,9,0
902,148,10,0
903,148,11,50
904,148,12,0
905,148,13,25
906,148,14,50
907,148,15,-25
908,148,16,0
909,148,17,0
910,148,18,50
911,148,19,0
912,149,1,0
913,149,2,50
914,149,3,50
915,149,4,0
916,149,5,0
917,149,6,0
918,149,7,-25
919,149,8,0
920,149,9,75
921,149,10,50
922,149,11,0
923,149,12,0
924,149,13,50
925,149,14,50
926,149,15,0
927,149,16,-25
928,149,17,0
929,149,18,0
930,149,19,25
931,150,1,50
932,150,2,-25
933,150,3,0
934,150,4,25
935,150,5,50
936,150,6,0
937,150,7,0
938,150,8,50
939,150,9,0
940,150,10,-25
941,150,11,50
942,150,12,25
943,150,13,50
944,150,14,0
945,150,15,25
946,150,16,0
947,150,17,50
948,150,18,-25
949,150,19,0
950,151,1,50
951,151,2,-25
952,151,3,0
953,151,4,50
954,151,5,50
955,151,6,0
956,151,7,0
957,151,8,25
958,151,9,0
959,151,10,50
960,151,11,50
961,151,12,0
962,151,13,0
963,151,14,0
964,151,15,25
965,151,16,0
966,151,17,50
967,151,18,-25
968,151,19,0
969,152,1,50
970,152,2,0
971,152,3,0
972,152,4,-25
973,152,5,50
974,152,6,0
975,152,7,50
976,152,8,25
977,152,9,0
978,152,10,25
979,152,11,50
980,152,12,25
981,152,13,-25
982,152,14,0
983,152,15,25
984,152,16,50
985,152,17,0
986,152,18,0
987,152,19,0
988,153,1,-25
989,153,2,0
990,153,3,0
991,153,4,50
992,153,5,0
993,153,6,50
994,153,7,25
995,153,8,0
996,153,9,50
997,153,10,0
998,153,11,-25
999,153,12,0
1000,153,13,50
1001,153,14,25
1002,153,15,0
1003,153,16,25
1004,153,17,0
1005,153,18,50
1006,153,19,25
1007,154,1,0
1008,154,2,0
1009,154,3,-25
1010,154,4,25
1011,154,5,25
1012,154,6,50
1013,154,7,50
1014,154,8,25
1015,154,9,0
1016,154,10,0
1017,154,11,0
1018,154,12,0
1019,154,13,50
1020,154,14,50
1021,154,15,-25
1022,154,16,0
1023,154,17,25
1024,154,18,50
1025,154,19,0
1026,155,1,0
1027,155,2,0
1028,155,3,-25
1029,155,4,25
1030,155,5,25
1031,155,6,50
1032,155,7,50
1033,155,8,25
1034,155,9,0
1035,155,10,0
1036,155,11,0
1037,155,12,50
1038,155,13,0
1039,155,14,50
1040,155,15,-25
1041,155,16,0
1042,155,17,25
1043,155,18,50
1044,155,19,0
1045,156,1,0
1046,156,2,0
1047,156,3,-25
1048,156,4,0
1049,156,5,25
1050,156,6,50
1051,156,7,50
1052,156,8,50
1053,156,9,0
1054,156,10,0
1055,156,11,25
1056,156,12,0
1057,156,13,0
1058,156,14,50
1059,156,15,-25
1060,156,16,25
1061,156,17,25
1062,156,18,50
1063,156,19,0
1064,157,1,50
1065,157,2,25
1066,157,3,50
1067,157,4,0
1068,157,5,25
1069,157,6,-25
1070,157,7,0
1071,157,8,0
1072,157,9,25
1073,157,10,0
1074,157,11,0
1075,157,12,25
1076,157,13,25
1077,157,14,-25
1078,157,15,50
1079,157,16,0
1080,157,17,50
1081,157,18,25
1082,157,19,0
1083,158,1,50
1084,158,2,0
1085,158,3,50
1086,158,4,0
1087,158,5,25
1088,158,6,-25
1089,158,7,0
1090,158,8,25
1091,158,9,25
1092,158,10,-25
1093,158,11,25
1094,158,12,0
1095,158,13,50
1096,158,14,-25
1097,158,15,50
1098,158,16,0
1099,158,17,50
1100,158,18,25
1101,158,19,0
1102,159,1,25
1103,159,2,0
1104,159,3,0
1105,159,4,0
1106,159,5,50
1107,159,6,0
1108,159,7,50
1109,159,8,25
1110,159,9,0
1111,159,10,25
1112,159,11,50
1113,159,12,0
1114,159,13,-25
1115,159,14,25
1116,159,15,25
1117,159,16,50
1118,159,17,0
1119,159,18,0
1120,159,19,0
1121,160,1,50
1122,160,2,-25
1123,160,3,0
1124,160,4,50
1125,160,5,50
1126,160,6,-25
1127,160,7,0
1128,160,8,50
1129,160,9,0
1130,160,10,0
1131,160,11,-25
1132,160,12,0
1133,160,13,50
1134,160,14,25
1135,160,15,0
1136,160,16,25
1137,160,17,25
1138,160,18,50
1139,160,19,0
1140,161,1,50
1141,161,2,-25
1142,161,3,25
1143,161,4,-25
1144,161,5,50
1145,161,6,0
1146,161,7,50
1147,161,8,25
1148,161,9,0
1149,161,10,50
1150,161,11,50
1151,161,12,0
1152,161,13,0
1153,161,14,0
1154,161,15,0
1155,161,16,25
1156,161,17,25
1157,161,18,-25
1158,161,19,0
1159,162,1,0
1160,162,2,0
1161,162,3,-25
1162,162,4,25
1163,162,5,0
1164,162,6,50
1165,162,7,50
1166,162,8,50
1167,162,9,0
1168,162,10,0
1169,162,11,25
1170,162,12,25
1171,162,13,25
1172,162,14,50
1173,162,15,-25
1174,162,16,0
1175,162,17,0
1176,162,18,50
1177,162,19,0
1178,164,1,0
1179,164,2,0
1180,164,3,-25
1181,164,4,50
1182,164,5,25
1183,164,6,50
1184,164,7,50
1185,164,8,0
1186,164,9,0
1187,164,10,0
1188,164,11,25
1189,164,12,0
1190,164,13,50
1191,164,14,50
1192,164,15,-25
1193,164,16,0
1194,164,17,0
1195,164,18,50
1196,164,19,0
1197,165,1,-25
1198,165,2,0
1199,165,3,0
1200,165,4,50
1201,165,5,0
1202,165,6,50
1203,165,7,25
1204,165,8,0
1205,165,9,50
1206,165,10,25
1207,165,11,-25
1208,165,12,0
1209,165,13,50
1210,165,14,0
1211,165,15,-25
1212,165,16,25
1213,165,17,25
1214,165,18,50
1215,165,19,25
1216,166,1,-25
1217,166,2,0
1218,166,3,0
1219,166,4,50
1220,166,5,0
1221,166,6,50
1222,166,7,25
1223,166,8,0
1224,166,9,50
1225,166,10,0
1226,166,11,-25
1227,166,12,0
1228,166,13,50
1229,166,14,0
1230,166,15,25
1231,166,16,25
1232,166,17,25
1233,166,18,50
1234,166,19,0
1235,167,1,25
1236,167,2,50
1237,167,3,0
1238,167,4,-25
1239,167,5,50
1240,167,6,25
1241,167,7,50
1242,167,8,0
1243,167,9,-25
1244,167,10,25
1245,167,11,50
1246,167,12,0
1247,167,13,-25
1248,167,14,25
1249,167,15,25
1250,167,16,50
1251,167,17,0
1252,167,18,0
1253,167,19,0
1254,168,1,50
1255,168,2,25
1256,168,3,50
1257,168,4,25
1258,168,5,25
1259,168,6,-25
1260,168,7,0
1261,168,8,-25
1262,168,9,25
1263,168,10,0
1264,168,11,25
1265,168,12,0
1266,168,13,0
1267,168,14,-25
1268,168,15,50
1269,168,16,25
1270,168,17,50
1271,168,18,25
1272,168,19,0
1273,169,1,0
1274,169,2,50
1275,169,3,50
1276,169,4,0
1277,169,5,0
1278,169,6,25
1279,169,7,-25
1280,169,8,0
1281,169,9,50
1282,169,10,0
1283,169,11,0
1284,169,12,25
1285,169,13,50
1286,169,14,50
1287,169,15,25
1288,169,16,-25
1289,169,17,25
1290,169,18,0
1291,169,19,0
1292,170,1,50
1293,170,2,0
1294,170,3,50
1295,170,4,25
1296,170,5,25
1297,170,6,-25
1298,170,7,0
1299,170,8,25
1300,170,9,0
1301,170,10,0
1302,170,11,25
1303,170,12,0
1304,170,13,0
1305,170,14,-25
1306,170,15,50
1307,170,16,0
1308,170,17,50
1309,170,18,25
1310,170,19,25
1311,171,1,50
1312,171,2,0
1313,171,3,50
1314,171,4,25
1315,171,5,25
1316,171,6,-25
1317,171,7,0
1318,171,8,25
1319,171,9,0
1320,171,10,0
1321,171,11,0
1322,171,12,0
1323,171,13,0
1324,171,14,-25
1325,171,15,50
1326,171,16,50
1327,171,17,50
1328,171,18,0
1329,171,19,25
1330,172,1,50
1331,172,2,0
1332,172,3,50
1333,172,4,50
1334,172,5,0
1335,172,6,-25
1336,172,7,0
1337,172,8,25
1338,172,9,0
1339,172,10,0
1340,172,11,0
1341,172,12,25
1342,172,13,0
1343,172,14,-25
1344,172,15,50
1345,172,16,50
1346,172,17,50
1347,172,18,0
1348,172,19,0
1349,173,1,-25
1350,173,2,0
1351,173,3,0
1352,173,4,50
1353,173,5,0
1354,173,6,50
1355,173,7,0
1356,173,8,0
1357,173,9,75
1358,173,10,0
1359,173,11,-25
1360,173,12,75
1361,173,13,50
1362,173,14,0
1363,173,15,0
1364,173,16,0
1365,173,17,0
1366,173,18,50
1367,173,19,0
1368,174,1,75
1369,174,2,0
1370,174,3,-25
1371,174,4,0
1372,174,5,0
1373,174,6,50
1374,174,7,50
1375,174,8,0
1376,174,9,0
1377,174,10,0
1378,174,11,0
1379,174,12,0
1380,174,13,50
1381,174,14,50
1382,174,15,-25
1383,174,16,25
1384,174,17,0
1385,174,18,50
1386,174,19,0
1387,175,1,25
1388,175,2,50
1389,175,3,50
1390,175,4,0
1391,175,5,0
1392,175,6,25
1393,175,7,-25
1394,175,8,25
1395,175,9,0
1396,175,10,0
1397,175,11,0
1398,175,12,25
1399,175,13,50
1400,175,14,50
1401,175,15,0
1402,175,16,-25
1403,175,17,50
1404,175,18,0
1405,175,19,0
1406,176,1,0
1407,176,2,50
1408,176,3,50
1409,176,4,0
1410,176,5,25
1411,176,6,0
1412,176,7,-25
1413,176,8,0
1414,176,9,50
1415,176,10,0
1416,176,11,0
1417,176,12,25
1418,176,13,50
1419,176,14,50
1420,176,15,0
1421,176,16,-25
1422,176,17,50
1423,176,18,0
1424,176,19,0
1425,177,1,25
1426,177,2,25
1427,177,3,-25
1428,177,4,25
1429,177,5,0
1430,177,6,50
1431,177,7,50
1432,177,8,0
1433,177,9,0
1434,177,10,-25
1435,177,11,25
1436,177,12,25
1437,177,13,0
1438,177,14,50
1439,177,15,-25
1440,177,16,0
1441,177,17,25
1442,177,18,50
1443,177,19,25
1444,178,1,0
1445,178,2,0
1446,178,3,-25
1447,178,4,0
1448,178,5,50
1449,178,6,50
1450,178,7,50
1451,178,8,25
1452,178,9,0
1453,178,10,25
1454,178,11,0
1455,178,12,0
1456,178,13,0
1457,178,14,50
1458,178,15,-25
1459,178,16,0
1460,178,17,50
1461,178,18,50
1462,178,19,0
1463,179,1,25
1464,179,2,50
1465,179,3,50
1466,179,4,0
1467,179,5,0
1468,179,6,0
1469,179,7,-25
1470,179,8,0
1471,179,9,50
1472,179,10,0
1473,179,11,0
1474,179,12,25
1475,179,13,50
1476,179,14,50
1477,179,15,25
1478,179,16,-25
1479,179,17,25
1480,179,18,0
1481,179,19,0
1482,180,1,25
1483,180,2,0
1484,180,3,50
1485,180,4,0
1486,180,5,0
1487,180,6,25
1488,180,7,0
1489,180,8,25
1490,180,9,25
1491,180,10,0
1492,180,11,0
1493,180,12,0
1494,180,13,0
1495,180,14,-25
1496,180,15,50
1497,180,16,25
1498,180,17,50
1499,180,18,50
1500,180,19,0
1501,181,1,50
1502,181,2,-25
1503,181,3,0
1504,181,4,0
1505,181,5,50
1506,181,6,0
1507,181,7,25
1508,181,8,25
1509,181,9,25
1510,181,10,0
1511,181,11,50
1512,181,12,0
1513,181,13,25
1514,181,14,0
1515,181,15,0
1516,181,16,50
1517,181,17,50
1518,181,18,-25
1519,181,19,0
1520,182,1,50
1521,182,2,0
1522,182,3,50
1523,182,4,25
1524,182,5,25
1525,182,6,-25
1526,182,7,0
1527,182,8,25
1528,182,9,0
1529,182,10,0
1530,182,11,25
1531,182,12,0
1532,182,13,0
1533,182,14,-25
1534,182,15,50
1535,182,16,25
1536,182,17,50
1537,182,18,25
1538,182,19,0
1539,183,1,-25
1540,183,2,100
1541,183,3,0
1542,183,4,50
1543,183,5,-25
1544,183,6,0
1545,183,7,-25
1546,183,8,25
1547,183,9,50
1548,183,10,0
1549,183,11,0
1550,183,12,0
1551,183,13,50
1552,183,14,0
1553,183,15,50
1554,183,16,50
1555,183,17,-25
1556,183,18,25
1557,183,19,0
1558,184,1,50
1559,184,2,-25
1560,184,3,0
1561,184,4,0
1562,184,5,50
1563,184,6,25
1564,184,7,0
1565,184,8,25
1566,184,9,25
1567,184,10,-25
1568,184,11,50
1569,184,12,0
1570,184,13,50
1571,184,14,0
1572,184,15,0
1573,184,16,0
1574,184,17,50
1575,184,18,25
1576,184,19,0
1577,185,1,-25
1578,185,2,50
1579,185,3,25
1580,185,4,50
1581,185,5,-25
1582,185,6,0
1583,185,7,50
1584,185,8,25
1585,185,9,0
1586,185,10,0
1587,185,11,0
1588,185,12,50
1589,185,13,0
1590,185,14,0
1591,185,15,50
1592,185,16,50
1593,185,17,-25
1594,185,18,25
1595,185,19,0
1596,186,1,-25
1597,186,2,50
1598,186,3,0
1599,186,4,25
1600,186,5,0
1601,186,6,25
1602,186,7,0
1603,186,8,25
1604,186,9,50
1605,186,10,0
1606,186,11,-25
1607,186,12,50
1608,186,13,50
1609,186,14,0
1610,186,15,25
1611,186,16,0
1612,186,17,0
1613,186,18,50
1614,186,19,0
1615,187,1,50
1616,187,2,-25
1617,187,3,25
1618,187,4,25
1619,187,5,50
1620,187,6,0
1621,187,7,0
1622,187,8,0
1623,187,9,25
1624,187,10,0
1625,187,11,50
1626,187,12,25
1627,187,13,25
1628,187,14,0
1629,187,15,0
1630,187,16,0
1631,187,17,50
1632,187,18,-25
1633,187,19,25
1634,188,1,25
1635,188,2,-25
1636,188,3,-25
1637,188,4,0
1638,188,5,25
1639,188,6,50
1640,188,7,50
1641,188,8,50
1642,188,9,0
1643,188,10,0
1644,188,11,0
1645,188,12,50
1646,188,13,0
1647,188,14,50
1648,188,15,-25
1649,188,16,0
1650,188,17,0
1651,188,18,50
1652,188,19,25
1653,189,1,-25
1654,189,2,50
1655,189,3,25
1656,189,4,50
1657,189,5,-25
1658,189,6,25
1659,189,7,0
1660,189,8,25
1661,189,9,25
1662,189,10,0
1663,189,11,25
1664,189,12,0
1665,189,13,0
1666,189,14,25
1667,189,15,50
1668,189,16,50
1669,189,17,-25
1670,189,18,25
1671,189,19,0
1672,190,1,25
